"Angle, Ch 1+2 (rad) Run #1","Angle, Ch 3+4 (rad) Run #1","Angle, Ch 1+2 (rad) Run #2","Angle, Ch 3+4 (rad) Run #2","Angle, Ch 1+2 (rad) Run #3","Angle, Ch 3+4 (rad) Run #3","Angle, Ch 1+2 (rad) Run #4","Angle, Ch 3+4 (rad) Run #4","Angle, Ch 1+2 (rad) Run #5","Angle, Ch 3+4 (rad) Run #5","Angle, Ch 1+2 (rad) Run #6","Angle, Ch 3+4 (rad) Run #6","Angle, Ch 1+2 (rad) Run #7","Angle, Ch 3+4 (rad) Run #7","Angle, Ch 1+2 (rad) Run #8","Angle, Ch 3+4 (rad) Run #8","Angle, Ch 1+2 (rad) Run #9","Angle, Ch 3+4 (rad) Run #9","Angle, Ch 1+2 (rad) Run #10","Angle, Ch 3+4 (rad) Run #10","Time","mean_Ch1_Ch2","sd_Ch1_Ch2","mean_Ch3_Ch4","sd_Ch3_Ch4"
-0.052,0,-0.175,0,-0.157,0,0,0,-0.087,0,-0.122,0,0,0.017,0,0,0,0,0,0,0,-0.0593,0.0709194378620323,0.0017,0.00537587202228625
-0.157,0,-0.332,0,-0.297,0,-0.017,0,-0.209,0,-0.244,0,0,0.017,-0.017,0,0,0,0,0,0.05,-0.1273,0.135328448187692,0.0017,0.00537587202228625
-0.314,0,-0.436,0,-0.436,0,-0.035,0,-0.349,0,-0.401,0,0,0.017,0,0,0,0,0,0,0.1,-0.1971,0.203887468962661,0.0017,0.00537587202228625
-0.489,0,-0.506,0,-0.628,0,-0.07,0,-0.541,0,-0.541,0,0,0.017,0,0,0,0,0,0,0.15,-0.2775,0.280820326108271,0.0017,0.00537587202228625
-0.646,0,-0.576,0,-0.838,-0.017,-0.122,0,-0.733,0,-0.646,0,0,0.017,0,0,0.017,0,0,0,0.2,-0.3544,0.359802476676054,0,0.00801387685344754
-0.785,0,-0.628,0,-1.065,-0.017,-0.209,0,-0.942,0,-0.785,0,0,0.017,-0.052,0,0.017,0,0,0,0.25,-0.4449,0.43662046829407,0,0.00801387685344754
-0.925,0,-0.681,0,-1.292,-0.017,-0.332,0,-1.065,0,-0.942,-0.017,0,0.017,-0.227,0,0,0,0,0,0.3,-0.5464,0.49288971044917,-0.0017,0.0096499856073583
-1.047,0,-0.785,-0.017,-1.466,-0.017,-0.471,0,-1.239,0,-1.117,-0.017,0,0.017,-0.419,0,-0.035,0,0,0,0.35,-0.6579,0.549211849431124,-0.0034,0.0107517440445725
-1.134,-0.017,-0.89,-0.017,-1.623,-0.017,-0.681,0,-1.431,-0.017,-1.292,-0.017,0,0.017,-0.628,0,-0.087,0,0,0,0.4,-0.7766,0.602204136669803,-0.0068,0.0118865002792617
-1.222,-0.017,-1.047,-0.017,-1.763,-0.017,-0.89,0,-1.676,-0.017,-1.501,-0.017,0,0.017,-0.855,0,-0.175,0,0.017,0,0.45,-0.9112,0.667568023999552,-0.0068,0.0118865002792617
-1.344,-0.017,-1.222,-0.017,-1.833,-0.017,-1.082,0,-1.92,-0.017,-1.658,-0.017,0,0.017,-1.117,0,-0.349,0,0.017,0,0.5,-1.0508,0.714420479985157,-0.0068,0.0118865002792617
-1.466,-0.017,-1.379,-0.017,-1.902,-0.017,-1.239,0,-2.147,-0.017,-1.78,-0.017,0,0.017,-1.379,0,-0.628,0,0,0,0.55,-1.192,0.750475108773695,-0.0068,0.0118865002792617
-1.588,-0.017,-1.518,-0.017,-1.99,-0.017,-1.396,0,-2.321,-0.017,-1.885,-0.017,0,0.017,-1.641,-0.017,-0.977,0,0,0,0.6,-1.3316,0.788181761327227,-0.0085,0.0120208152801713
-1.693,-0.017,-1.676,-0.017,-2.042,-0.017,-1.571,-0.017,-2.374,-0.017,-1.955,-0.017,0,0.017,-1.902,-0.017,-1.292,0,-0.017,0,0.65,-1.4522,0.814400911372553,-0.0102,0.0118865002792617
-1.798,-0.017,-1.78,-0.017,-2.025,-0.017,-1.745,-0.017,-2.304,-0.017,-2.007,-0.017,0.017,0.017,-2.217,-0.017,-1.588,0,-0.017,0,0.7,-1.5464,0.843748277364497,-0.0102,0.0118865002792617
-1.885,-0.017,-1.85,-0.017,-1.885,-0.017,-1.937,-0.017,-2.112,-0.017,-2.042,-0.017,0.017,0.017,-2.548,-0.017,-1.99,-0.017,-0.035,0,0.75,-1.6267,0.875824443342132,-0.0119,0.0114741254810794
-1.99,-0.017,-1.868,-0.017,-1.623,-0.017,-2.129,-0.017,-1.85,-0.017,-2.059,-0.017,0.017,0.017,-3.002,-0.017,-2.461,-0.017,-0.07,0,0.8,-1.7035,0.962223495636827,-0.0119,0.0114741254810794
-2.059,-0.017,-1.78,-0.017,-1.292,-0.017,-2.217,-0.017,-1.484,-0.017,-2.042,-0.017,0.017,0.017,-3.508,-0.017,-3.054,-0.017,-0.192,0,0.85,-1.7611,1.10652885186063,-0.0119,0.0114741254810794
-2.112,-0.017,-1.588,-0.017,-0.873,-0.017,-2.286,-0.017,-1.047,-0.017,-1.937,-0.017,-0.017,0.017,-3.857,-0.017,-3.578,-0.017,-0.401,0,0.9,-1.7696,1.26241269885177,-0.0119,0.0114741254810794
-2.164,-0.017,-1.326,-0.017,-0.384,-0.017,-2.356,-0.017,-0.576,-0.017,-1.71,-0.017,-0.14,0.017,-4.014,-0.017,-3.91,-0.017,-0.733,0,0.95,-1.7313,1.38958139580075,-0.0119,0.0114741254810794
-2.182,-0.017,-0.977,-0.017,0.122,-0.017,-2.391,-0.017,-0.087,0,-1.379,-0.017,-0.332,0.017,-3.962,-0.017,-4.049,-0.017,-1.117,0,1,-1.6354,1.49298561427913,-0.0102,0.0118865002792617
-2.234,-0.017,-0.576,-0.017,0.646,0,-2.409,-0.017,0.419,0,-0.977,-0.017,-0.559,0.017,-3.718,-0.017,-3.979,-0.017,-1.518,0,1.05,-1.4905,1.58920268268924,-0.0085,0.0120208152801713
-2.269,-0.017,-0.14,-0.017,1.152,0,-2.374,-0.017,0.89,0,-0.524,-0.017,-0.855,0.017,-3.316,-0.017,-3.735,-0.017,-2.007,-0.017,1.1,-1.3178,1.6844650848926,-0.0102,0.0118865002792617
-2.164,-0.017,0.314,0,1.623,0,-2.217,-0.017,1.309,0,-0.017,0,-1.152,0.017,-2.74,-0.017,-3.299,-0.017,-2.531,-0.017,1.15,-1.0874,1.77464107169121,-0.0068,0.0118865002792617
-1.972,-0.017,0.768,0,2.025,0,-1.972,-0.017,1.658,0,0.489,0,-1.361,0,-2.059,-0.017,-2.705,-0.017,-3.194,-0.017,1.2,-0.8323,1.88971873568529,-0.0085,0.00895978670381041
-1.658,-0.017,1.204,0,2.339,0,-1.623,-0.017,1.902,0,0.995,0,-1.518,0,-1.292,-0.017,-2.007,-0.017,-3.752,-0.017,1.25,-0.541,2.00176560954462,-0.0085,0.00895978670381041
-1.274,-0.017,1.571,0,2.548,0,-1.204,-0.017,2.042,0,1.466,0,-1.71,0,-0.454,-0.017,-1.204,-0.017,-4.119,-0.017,1.3,-0.2338,2.09102116467316,-0.0085,0.00895978670381041
-0.82,-0.017,1.885,0,2.653,0,-0.75,-0.017,2.059,0,1.868,0,-1.885,0,0.384,0,-0.367,0,-4.276,-0.017,1.35,0.0751000000000001,2.1504155903246,-0.0051,0.00821178015617401
-0.332,-0.017,2.094,0,2.653,0,-0.244,-0.017,1.972,0,2.199,0,-2.094,0,1.187,0,0.489,0,-4.224,-0.017,1.4,0.37,2.18132202523556,-0.0051,0.00821178015617401
0.192,0,2.234,0,2.531,0,0.262,0,1.798,0,2.426,0,-2.286,0,1.92,0,1.309,0,-3.962,-0.017,1.45,0.6424,2.18115281445386,-0.0017,0.00537587202228625
